a_sex,year,ahe08
1,1992,17.16202545
1,1992,15.3385601
1,1992,22.94229126
2,1992,13.28334045
1,1992,22.1229229
2,1992,12.16760826
2,1992,21.06945038
1,1992,36.13410568
1,1992,14.04629993
1,1992,9.217885017
2,1992,7.816766262
2,1992,18.60519028
1,1992,19.13538361
2,1992,22.33621025
1,1992,26.69499588
1,1992,12.93340111
2,1992,16.51844978
1,1992,22.11554909
1,1992,23.59778404
1,1992,20.64806175
2,1992,26.21976089
2,1992,9.586600304
2,1992,19.20750046
2,1992,20.9758091
1,1992,21.91222954
1,1992,34.4328537
1,1992,27.69462204
1,1992,35.39667892
1,1992,57.02797699
2,1992,28.75979996
1,1992,29.49723244
1,1992,18.79277992
2,1992,25.81007767
1,1992,27.69462204
2,1992,34.65924454
1,1992,11.06146145
1,1992,33.18438339
1,1992,13.49498272
1,1992,26.54750633
1,1992,49.40786362
1,1992,18.43577003
1,1992,24.33521652
2,1992,10.32403088
2,1992,14.74861622
1,1992,27.28493881
1,1992,26.54750633
1,1992,24.54390717
2,1992,21.91222954
1,1992,16.22347832
1,1992,7.362509251
1,1992,13.42123985
1,1992,21.90726471
1,1992,16.22347832
1,1992,11.30727196
2,1992,16.96090889
2,1992,18.35383224
1,1992,28.84173775
1,1992,18.87822914
2,1992,11.06146145
2,1992,18.43577003
1,1992,55.30731201
2,1992,7.374308109
1,1992,21.13968277
1,1992,25.81007767
1,1992,25.07264519
1,1992,25.81007767
2,1992,19.91063118
2,1992,20.64806175
1,1992,12.29051304
1,1992,10.32403088
1,1992,21.89350128
2,1992,29.49723244
1,1992,15.92850399
2,1992,25.07264519
1,1992,28.90728569
1,1992,40.92740631
2,1992,36.87154007
2,1992,17.69833946
2,1992,10.73699188
1,1992,12.9787817
1,1992,20.78374863
1,1992,44.24584579
2,1992,14.48045921
1,1992,21.82795143
1,1992,13.76537418
2,1992,19.633358
1,1992,70.05592346
2,1992,16.96090889
2,1992,18.43577003
1,1992,39.32964325
1,1992,5.478057384
1,1992,22.1229229
2,1992,31.70952225
1,1992,11.79889202
1,1992,23.00784111
1,1992,45.88458252
2,1992,24.33521652
1,1992,37.16651154
2,1992,23.59778404
2,1992,14.74861622
1,1992,24.77767563
1,1992,24.90877342
1,1992,40.64062881
2,1992,22.1229229
1,1992,23.59778404
1,1992,63.41904449
2,1992,18.43577003
2,1992,17.04284477
1,1992,16.22347832
1,1992,22.1229229
2,1992,23.59778404
2,1992,22.94229126
2,1992,36.87154007
1,1992,23.59778404
2,1992,17.69833946
1,1992,38.34640121
2,1992,16.38735008
2,1992,17.69833946
1,1992,23.59778404
1,1992,21.45253181
1,1992,18.43577003
2,1992,22.1229229
1,1992,18.5134449
2,1992,18.18995857
1,1992,26.54750633
2,1992,15.80208778
2,1992,7.385516644
2,1992,19.66482162
2,1992,15.3385601
1,1992,38.34640121
1,1992,33.18438339
1,1992,11.79889202
1,1992,36.87154007
2,1992,19.91063118
2,1992,17.69833946
1,1992,29.49723244
2,1992,24.77767563
1,1992,20.91621971
1,1992,16.38735008
2,1992,19.91063118
1,1992,13.21647072
1,1992,55.30731201
2,1992,17.40336609
1,1992,27.28493881
2,1992,22.94229126
2,1992,22.84314156
1,1992,15.3385601
2,1992,14.74861622
2,1992,15.49489498
1,1992,25.73633575
2,1992,16.5921917
2,1992,22.1229229
2,1992,19.17320061
1,1992,21.82795143
1,1992,17.69833946
1,1992,28.02236748
1,1992,9.02268219
2,1992,18.43577003
2,1992,24.33521652
1,1992,53.09501266
1,1992,29.49723244
1,1992,38.61455917
1,1992,22.86035347
1,1992,30.2346611
1,1992,30.97209358
2,1992,28.09259987
2,1992,25.90512466
1,1992,14.15867043
2,1992,30.97209358
1,1992,11.06146145
1,1992,22.1229229
2,1992,16.5921917
1,1992,25.81007767
1,1992,18.54111671
2,1992,14.74861622
2,1992,18.97040749
1,1992,15.48604679
2,1992,18.43577003
1,1992,22.94229126
2,1992,16.51844978
2,1992,28.75979996
2,1992,25.81007767
1,1992,19.46817207
1,1992,19.30727959
2,1992,22.1229229
2,1992,22.1229229
1,1992,15.09160614
2,1992,18.06705284
2,1992,17.20671844
1,1992,23.25743103
1,1992,31.70952225
1,1992,13.04685307
1,1992,17.69833946
1,1992,28.02236748
2,1992,38.34640121
2,1992,22.1229229
1,1992,19.17320061
1,1992,12.64167023
1,1992,22.1229229
2,1992,22.1229229
2,1992,23.59778404
2,1992,26.54750633
1,1992,16.51844978
1,1992,29.49723244
1,1992,37.8302002
2,1992,24.77767563
1,1992,22.1229229
2,1992,33.18438339
2,1992,15.63353252
1,1992,27.28493881
1,1992,36.13410568
2,1992,13.97237301
2,1992,31.18278694
2,1992,20.64806175
2,1992,14.74861622
2,1992,20.32031441
1,1992,20.64806175
2,1992,32.06840515
1,1992,29.49723244
1,1992,23.59778404
1,1992,9.439114571
1,1992,18.43577003
2,1992,21.06945038
1,1992,22.56144905
1,1992,14.74861622
2,1992,26.96889877
2,1992,20.64806175
2,1992,13.10988045
1,1992,14.74861622
2,1992,20.77096748
1,1992,22.1229229
2,1992,47.93300247
1,1992,35.98662186
2,1992,30.97209358
1,1992,12.50682545
2,1992,36.05217361
1,1992,15.3385601
2,1992,23.59778404
2,1992,24.18772888
2,1992,19.17320061
2,1992,21.38549232
2,1992,12.90503883
1,1992,36.87154007
1,1992,28.02236748
2,1992,29.49723244
1,1992,30.67712021
2,1992,29.49723244
1,1992,19.91063118
2,1992,16.96090889
2,1992,4.884741306
1,1992,23.59778404
2,1992,22.86035347
2,1992,13.4548769
2,1992,20.70705605
2,1992,37.92501068
1,1992,19.17320061
1,1992,15.97766781
2,1992,19.38389397
1,1992,21.38549232
1,1992,22.1229229
1,1992,15.07636261
1,1992,50.86767578
1,1992,21.38549232
2,1992,19.91063118
2,1992,26.54750633
2,1992,28.02236748
1,1992,33.68524551
2,1992,24.72236633
2,1992,10.80254173
2,1992,19.17320061
1,1992,31.70952225
1,1992,18.45051765
1,1992,30.2346611
2,1992,18.43577003
1,1992,33.18438339
1,1992,20.64806175
1,1992,29.49723244
1,1992,11.43017673
1,1992,31.95533562
2,1992,34.08568954
1,1992,12.27084827
2,1992,19.46817207
2,1992,13.27375317
1,1992,22.35300255
